Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
Office of Enforcement and Compliance Assurance,106000000,1,6,0,0,,,27/29,,,,1
Office of Administration and Policy,106000001,1,6,0,0,1,,1,17-Feb,DataRescue NH,,
"Office of Civil Enforcement (OCE): Air, Water, Waste and Chemical Enforcement",106000002,1,6,0,0,2,,1,17-Feb,DataRescue NH,,
OCE: National Enforcement Initiatives,106000003,1,6,0,0,3,,1,17-Feb,DataRescue NH,,
OCE: Civil enforcement cases and settlements,106000004,1,6,0,0,4,,1,17-Feb,DataRescue NH,,
OCE: Policy Guidance and Publications,106000005,1,6,0,0,5,,1,17-Feb,DataRescue NH,,
"Office of Criminal Enforcement, Forensics and Training (OCEFT): Criminal Enforcement Cases",106000006,1,6,0,0,6,,1,17-Feb,DataRescue NH,,
OCEFT: Criminal Enforcement Program Area and Resident Offices,106000007,1,6,0,0,7,,1,17-Feb,DataRescue NH,,
OCEFT: Environmental Violation Reporting,106000008,1,6,0,0,8,,1,17-Feb,DataRescue NH,,
OCEFT: EPA fugitives,106000009,1,6,0,0,9,,1,17-Feb,DataRescue NH,,
OCEFT: National Enforcement Investigations Center,106000010,1,6,0,0,10,,1,17-Feb,DataRescue NH,,
Office of Compliance (OC): EPA National Enforcement Initiatives,106000011,1,6,0,0,11,,1,17-Feb,DataRescue NH,,
OC: Statutory Programs Compliance Monitoring,106000012,1,6,0,0,12,,1,17-Feb,DataRescue NH,,
OC: Compliance Assistance,106000013,1,6,0,0,13,,1,17-Feb,DataRescue NH,,
OC: Enforcement and Compliance History Online (ECHO),106000014,1,6,0,0,14,,1,17-Feb,DataRescue NH,,
OC: National Enforcement Training Institute,106000015,1,6,0,0,15,,1,17-Feb,DataRescue NH,,
OC: Compliance and Enforcement Annual Results,106000016,1,6,0,0,16,,1,17-Feb,DataRescue NH,,
Office of Environmental Justice (OEJ): National Environmental Justice Advisory Council (NEJAC),106000017,1,6,0,0,17,,1,17-Feb,DataRescue NH,,
OEJ: Federal Interagency Working Group on Environmental Justice,106000018,1,6,0,0,18,,1,17-Feb,DataRescue NH,,
OEJ: Listserv for environmental justice information,106000019,1,6,0,0,19,,1,17-Feb,DataRescue NH,,
OEJ: Environmental Justice Small Grants,106000020,1,6,0,0,20,,1,17-Feb,DataRescue NH,,
OEJ: EJ 2020,106000021,1,6,0,0,21,,1,17-Feb,DataRescue NH,,
Office of Federal Activities (OFA): National Environmental Policy Act (NEPA),106000022,1,6,0,0,22,,1,17-Feb,DataRescue NH,,
OFA: Environmental Impact Assessments (EIAs) Regarding Nongovernmental Activities in Antarctica,106000023,1,6,0,0,23,,1,17-Feb,DataRescue NH,,
OFA: Environmental Impact Statement Database,106000024,1,6,0,0,24,,1,17-Feb,DataRescue NH,,
Federal Facilities Enforcement Office: Compliance and Enforcement at Federal facilities,106000025,1,6,0,0,25,,1,17-Feb,DataRescue NH,,
Office of Site Remediation Enforcement: Superfund Enforcement,106000026,1,6,0,0,26,,0,,,,
OSRE: RCRA cleanup,106000027,1,6,0,0,27,,1,17-Feb,DataRescue NH,,
OSRE: Brownfields and land revitalization,106000028,1,6,0,0,28,,1,17-Feb,DataRescue NH,,
OSRE: Cleanup enforcement,106000029,1,6,0,0,29,,0,,,,
Office of International and Tribal Affairs,110000000,1,10,0,0,,,33/33,,,,1
Partnering with International Organizations,110000001,1,10,0,0,1,,1,17-Feb,DataRescue NH,,
International Actions to Reduce Mercury,110000002,1,10,0,0,2,,1,17-Feb,DataRescue NH,,
Cleaning Up Electronic Waste,110000003,1,10,0,0,3,,1,17-Feb,DataRescue NH,,
"Environment, Trade and Finance",110000004,1,10,0,0,4,,1,17-Feb,DataRescue NH,,
Protecting the Marine Environment,110000005,1,10,0,0,5,,1,17-Feb,DataRescue NH,,
Partnership for Clean Fuels and Vehicles,110000006,1,10,0,0,6,,1,17-Feb,DataRescue NH,,
Global Alliance to Eliminate Lead in Paint,110000007,1,10,0,0,7,,1,17-Feb,DataRescue NH,,
Strong Environmental Institutions,110000008,1,10,0,0,8,,1,17-Feb,DataRescue NH,,
Climate Change,110000009,1,10,0,0,9,,1,17-Feb,DataRescue NH,,
Air Quality,110000010,1,10,0,0,10,,1,17-Feb,DataRescue NH,,
Clean Water,110000011,1,10,0,0,11,,1,17-Feb,DataRescue NH,,
Toxic Chemicals,110000012,1,10,0,0,12,,1,17-Feb,DataRescue NH,,
Electronic Waste (E-Waste),110000013,1,10,0,0,13,,1,17-Feb,DataRescue NH,,
International Priorities,110000014,1,10,0,0,14,,1,17-Feb,DataRescue NH,,
U.S. EPA grants and cooperative agreements,110000015,1,10,0,0,15,,1,17-Feb,DataRescue NH,,
Information on Receiving International Grant Payments,110000016,1,10,0,0,16,,1,17-Feb,DataRescue NH,,
Explore open grants for tribes,110000017,1,10,0,0,17,,1,17-Feb,DataRescue NH,,
Importer/Exporter Requirements,110000018,1,10,0,0,18,,1,17-Feb,DataRescue NH,,
Public Participation Guide,110000019,1,10,0,0,19,,1,17-Feb,DataRescue NH,,
International E-Waste Management Network,110000020,1,10,0,0,20,,1,17-Feb,DataRescue NH,,
Technical Review Guidelines for Environmental Impact Assessment,110000021,1,10,0,0,21,,1,17-Feb,DataRescue NH,,
Office of Regional and Bilateral Affairs (OBRA): Africa,110000022,1,10,0,0,22,,1,17-Feb,DataRescue NH,,
OBRA: Asia/Pacific Islands,110000023,1,10,0,0,23,,1,17-Feb,DataRescue NH,,
OBRA: Latin America & Caribbean,110000024,1,10,0,0,24,,1,17-Feb,DataRescue NH,,
OBRA: Middle East,110000025,1,10,0,0,25,,1,17-Feb,DataRescue NH,,
OBRA: Europe,110000026,1,10,0,0,26,,1,17-Feb,DataRescue NH,,
OBRA: North America,110000027,1,10,0,0,27,,1,17-Feb,DataRescue NH,,
OBRA: Russia/Eurasia,110000028,1,10,0,0,28,,1,17-Feb,DataRescue NH,,
Indian Environmental General Assistance Program (GAP),110000029,1,10,0,0,29,,1,17-Feb,DataRescue NH,,
Environmental Protection in Indian Country,110000030,1,10,0,0,30,,1,17-Feb,DataRescue NH,,
"Laws, regulations and policies that affect tribes",110000031,1,10,0,0,31,,1,17-Feb,DataRescue NH,,
Consultation with tribes,110000032,1,10,0,0,32,,1,17-Feb,DataRescue NH,,
Tribal ecoAmbassadors,110000033,1,10,0,0,33,,1,17-Feb,DataRescue NH,,
Office of Environmental Information,107000000,1,7,0,0,,,37/37,,,,1
Agency-wide Quality System Documents,107000001,1,7,0,0,1,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Quality Specifications for non-EPA Organizations to do business with EPA,107000002,1,7,0,0,2,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Quality Management Tools for Projects,107000003,1,7,0,0,3,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Quality Management Tools for Organizations and Programs,107000004,1,7,0,0,4,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Guidelines for Ensuring and Maximizing the Quality of Information,107000005,1,7,0,0,5,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Information Guidelines - Requests for Correction and Requests for Reconsideration,107000006,1,7,0,0,6,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Training Courses on Quality Assurance and Quality Control Activities,107000007,1,7,0,0,7,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Information Quality Guidelines,107000008,1,7,0,0,8,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Docket Center,107000009,1,7,0,0,9,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Freedom of Information Act,107000010,1,7,0,0,10,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA National Records Management Program,107000011,1,7,0,0,11,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA National Library Network,107000012,1,7,0,0,12,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Central Data Exchange (CDX),107000013,1,7,0,0,13,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Cross-Media Electronic Reporting Rule (CROMERR),107000014,1,7,0,0,14,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
