Checked,Index,Unique ID,Output Date/Time,Agency,Site Name,Page Name,URL,Page View URL,Last Two - Side by Side,Latest to Base - Side by Side,Date Found - Latest,Date Found - Base,Diff length,Diff hash,Who Found This?,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,Choose from drop down menu,,Leave blank (used on Patterns sheet),Further Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3088,23f86cc3-5161-4995-9a06-e68c947a69a2,2017-02-03 13:01:27 -0500,DOI,DOI - doi.gov,NPS.gov Homepage (U.S. National Park Service),https://www.nps.gov/index.htm,https://versionista.com/74535/6250812/,https://versionista.com/74535/6250812/9709437:0/,https://versionista.com/74535/6250812/9709437:9487232/,2/2/2017 3:56:00,1/19/2017 13:28:00,,,Ed,,y,y,,,,,,,,,,y,y,y,,,,,,,"Half of main page links (including ones that reference diversity, climate change, and reconstruction) have been removed",Seems to be an overhaul of linked pages.,Broad Topic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2462,e40fd102-d845-44cb-8ad2-0cfcc3c2b4cf,2017-02-03 12:51:49 -0500,DOE,DOE - energy.gov/eere,Strategic Analysis | Department of Energy,https://energy.gov/eere/bioenergy/analysis,https://versionista.com/74273/6210821/,https://versionista.com/74273/6210821/9717332:0/,https://versionista.com/74273/6210821/9717332:9433282/,2/2/2017 14:00:00,1/17/2017 5:50:00,,,Ed,,y,y,,,,,,,,,,y,y,y,,,,Alternative/Renewable Energy,Economic/Fiscal ,,"Complete overhaul of language, including new references to ""industry growth"" and ""market analysis"" of bioenergy. Removal of Greenhouse Gas Emissions Report", ,Climate Change ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2501,990b4946-982a-4409-b552-e36664997493,2017-02-03 12:52:21 -0500,DOE,DOE - energy.gov/eere,Access denied | Department of Energy,https://energy.gov/eere/bioenergy/technology-pathways,https://versionista.com/74273/6217469/,https://versionista.com/74273/6217469/9701741:0/,https://versionista.com/74273/6217469/9701741:9454897/,2/1/2017 17:00:00,1/18/2017 1:09:00,,,Ed,,,,,,y,,,,,,,y,,,y,,,Alternative/Renewable Energy,Economic/Fiscal ,,"""Access denied"" formerly BETO R&D page",,Water Quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2896,f7e5515f-580c-4114-9209-ce6a450916cb,2017-02-03 12:58:09 -0500,DOE,DOE - nrel.gov,Research Staff | Buildings | NREL,www.nrel.gov/buildings/staff.html,https://versionista.com/74284/6218318/,https://versionista.com/74284/6218318/9670195:0/,https://versionista.com/74284/6218318/9670195:9433885/,1/31/2017 0:03:00,1/17/2017 6:15:00,,,Abby,,y,,y,y,,y,y,y,,,,y,y,y,,,,,,,"removed staff member's education, and work experience with renewable energy, removed many staff members' bios entirely, despite that they are still listed on the page's staff directory",Could be routine staff updates,Air Quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,548,a60099cc-6880-408b-affc-02338a774d77,2017-02-06 22:48:52 -0500,Globalchange.gov,Globalchange.gov,Arctic Sea Ice Extent | GlobalChange.gov,www.globalchange.gov/browse/indicators/indicator-arctic-sea-ice-extent,https://versionista.com/74228/6238038/,https://versionista.com/74228/6238038/9744345:0/,https://versionista.com/74228/6238038/9744345:9478296/,2/4/2017 4:11:00,1/19/2017 5:18:00,,,Abby,,y,,y,,,,,,,,y,y,y,,,,,Climate Change ,,,"lower estimate of how much sea ice extent has decreased, other language re: impact of ice decrease changed; removal of some links to NOAA climate sites",,Oil and Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,552,ceb22dd3-397c-4b4b-a33a-9fdc07265e9d,2017-02-06 22:48:54 -0500,Globalchange.gov,Globalchange.gov,Annual Greenhouse Gas Index | GlobalChange.gov,www.globalchange.gov/browse/indicators/indicator-annual-greenhouse-gas-index,https://versionista.com/74228/6238056/,https://versionista.com/74228/6238056/9743737:0/,https://versionista.com/74228/6238056/9743737:9480619/,2/4/2017 3:21:00,1/19/2017 7:25:00,,,Abby,,y,,y,y,,,,,,,y,y,y,,,,,Climate Change ,Mitigation ,,"framework change from ""mitigation strategies"" to mere presentation of information; removal of social media share widgets",,Coal and Power Plants ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,553,60e5b4cf-1602-438d-b4c8-673086ad4cc6,2017-02-06 22:48:55 -0500,Globalchange.gov,Globalchange.gov,Heating and Cooling Degree Days | GlobalChange.gov,www.globalchange.gov/browse/indicators/indicator-heating-and-cooling-degree-days,https://versionista.com/74228/6238037/,https://versionista.com/74228/6238037/9743628:0/,https://versionista.com/74228/6238037/9743628:9478500/,2/4/2017 3:12:00,1/19/2017 5:29:00,,,Abby,,y,,y,y,,,,,,,y,y,y,,,,,Climate Change ,Mitigation ,,"framework change from ""mitigation strategies"" to mere presentation of information; removal of social media share widgets",,Mining ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,564,9a77c0ca-e5e7-4072-b2d7-cca02addbeb4,2017-02-06 22:49:04 -0500,Globalchange.gov,Globalchange.gov,Indicators | GlobalChange.gov,www.globalchange.gov/browse/indicators,https://versionista.com/74228/6205447/,https://versionista.com/74228/6205447/9734398:0/,https://versionista.com/74228/6205447/9734398:9468769/,2/3/2017 13:17:00,1/18/2017 19:04:00,,,Abby,,y,y,y,y,,,y,,,,,y,y,,,,,Climate Change ,Mitigation ,,"change in language used to identify indicators of climate change, and the purpose of having indicators; removal of explanation of public interaction with indicators; removal of some mouseover text explanations, and links to reports/assessments; removal of ability to filter by topic and/or agency [SAME NOTE ON MULTIPLE PAGES FROM THIS SUBDOMAIN. IF THIS IS IMPORTANT, WILL ADD THOSE TO THIS SPREADSHEET]",,Alternative/Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4994,0b139053-a72f-4bd7-bede-73abea717ebb,2017-02-03 17:23:12 -0500,DOT,DOT - fhwa.dot.gov,Contacts - Sustainability - Environment - FHWA,https://www.fhwa.dot.gov/environment/sustainability/contacts/,https://versionista.com/75255/6307046/,https://versionista.com/75255/6307046/9724212:0/,https://versionista.com/75255/6307046/9724212:9643805/,2/2/2017 23:42:00,1/29/2017 1:25:00,,,Chris,,Y,,,,,,,,,,,Y,,,,,,Alternative/Renewable Energy,GHG emissions,,Sustainable Transport and Climate Change Team' changed to 'Sustainable Transport and Reslience Team.',,Toxic Substances ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2665,9877de04-95e1-44de-aebe-8ceb6c8e5353,2017-02-07 00:27:31 -0500,EPA,EPA - epa.gov/aboutepa/epa-region-9-pacific-southwest,EPA in California | US EPA,https://www.epa.gov/aboutepa/epa-california,https://versionista.com/74000/6186000/,https://versionista.com/74000/6186000/9735307:0/,https://versionista.com/74000/6186000/9735307:9412731/,2/3/2017 14:21:00,1/16/2017 0:01:00,,,Ed,,y,y,y,y,,,,,,,,y,,y,,,,,Accessibility (decrease) ,,"Total site changes, rearrangments. Removed or buried accessible links to water quality info",,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
